"","...1","ID.Ibex","Label","Response","FeatureMatch","Word1","Word2","WordPair","Conceptual","Valence","Category","Experiment"
"20",20,"616d94407f0e63a61e856056","control_MaxMatch_Negative_Abstract",0,"MaxMatch","exploit","worry","exploit-worry","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"21",21,"616d94407f0e63a61e856056","test_ValenceMatch_Positive",0,"ValenceMatchingOnly","cook","enlighten","cook-enlighten","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"22",22,"616d94407f0e63a61e856056","control_MaxMismatch",0,"MaxMismatch","scorn","justify","scorn-justify","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"23",23,"616d94407f0e63a61e856056","control_MaxMatch_Negative_Concrete",0,"MaxMatch","puke","smack","puke-smack","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"24",24,"616d94407f0e63a61e856056","control_Dissimilar",0,"DissimilarControl","begin","end","begin-end","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"25",25,"616d94407f0e63a61e856056","control_Similar",99,"SimilarControl","get","obtain","get-obtain","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"26",26,"616d94407f0e63a61e856056","test_ConceptualMatch_Concrete",0,"ConceptualMatchingOnly","sail","vomit","sail-vomit","Conc-Abs","PositiveMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"27",27,"616d94407f0e63a61e856056","control_Dissimilar",0,"DissimilarControl","push","pull","push-pull","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"28",28,"616d94407f0e63a61e856056","control_Similar",99,"SimilarControl","begin","start","begin-start","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"29",29,"616d94407f0e63a61e856056","test_ValenceMatch_Negative",0,"ValenceMatchingOnly","smack","exploit","smack-exploit","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"30",30,"616d94407f0e63a61e856056","control_MaxMatch_Positive_Abstract",0,"MaxMatch","admired","believe","admired-believe","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"31",31,"616d94407f0e63a61e856056","test_ConceptualMatch_Abstract",0,"ConceptualMatchingOnly","obsess","justify","obsess-justify","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"32",32,"616d94407f0e63a61e856056","control_MaxMatch_Positive_Concrete",0,"MaxMatch","running","sail","running-sail","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"33",33,"616d94407f0e63a61e856056","control_MaxMatch_Negative_Abstract",0,"MaxMatch","loathe","obsess","loathe-obsess","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"34",34,"616d94407f0e63a61e856056","test_ValenceMatch_Positive",0,"ValenceMatchingOnly","smile","imagine","smile-imagine","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"35",35,"616d94407f0e63a61e856056","control_MaxMismatch",0,"MaxMismatch","befall","imagine","befall-imagine","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"36",36,"616d94407f0e63a61e856056","control_MaxMatch_Negative_Concrete",0,"MaxMatch","puke","slap","puke-slap","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"37",37,"616d94407f0e63a61e856056","control_Dissimilar",0,"DissimilarControl","enter","exit","enter-exit","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"38",38,"616d94407f0e63a61e856056","control_Similar",99,"SimilarControl","ask","inquire","ask-inquire","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"39",39,"616d94407f0e63a61e856056","test_ConceptualMatch_Concrete",0,"ConceptualMatchingOnly","hug","kill","hug-kill","Conc-Abs","PositiveMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"40",40,"616d94407f0e63a61e856056","control_Dissimilar",0,"DissimilarControl","increase","decrease","increase-decrease","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"41",41,"616d94407f0e63a61e856056","control_Similar",99,"SimilarControl","end","finish","end-finish","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"42",42,"616d94407f0e63a61e856056","test_ValenceMatch_Negative",0,"ValenceMatchingOnly","vomit","worry","vomit-worry","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"43",43,"616d94407f0e63a61e856056","control_MaxMatch_Positive_Abstract",67,"MaxMatch","admired","cherish","admired-cherish","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"44",44,"616d94407f0e63a61e856056","test_ConceptualMatch_Abstract",0,"ConceptualMatchingOnly","scorn","fulfill","scorn-fulfill","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"45",45,"616d94407f0e63a61e856056","control_MaxMatch_Positive_Concrete",0,"MaxMatch","eat","smile","eat-smile","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"46",46,"616d94407f0e63a61e856056","control_MaxMatch_Negative_Abstract",0,"MaxMatch","exploit","scorn","exploit-scorn","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"47",47,"616d94407f0e63a61e856056","test_ValenceMatch_Positive",0,"ValenceMatchingOnly","hug","imagine","hug-imagine","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"48",48,"616d94407f0e63a61e856056","control_MaxMismatch",0,"MaxMismatch","criticize","justify","criticize-justify","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"49",49,"616d94407f0e63a61e856056","control_MaxMatch_Negative_Concrete",0,"MaxMatch","bleed","spit","bleed-spit","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"50",50,"616d94407f0e63a61e856056","control_Dissimilar",0,"DissimilarControl","arrive","leave","arrive-leave","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"51",51,"616d94407f0e63a61e856056","control_Similar",68,"SimilarControl","use","employ","use-employ","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"52",52,"616d94407f0e63a61e856056","test_ConceptualMatch_Concrete",0,"ConceptualMatchingOnly","eat","spit","eat-spit","Conc-Abs","PositiveMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"53",53,"616d94407f0e63a61e856056","control_Dissimilar",0,"DissimilarControl","open","close","open-close","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"54",54,"616d94407f0e63a61e856056","control_Similar",99,"SimilarControl","speak","talk","speak-talk","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"55",55,"616d94407f0e63a61e856056","test_ValenceMatch_Negative",0,"ValenceMatchingOnly","bleed","annoy","bleed-annoy","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"56",56,"616d94407f0e63a61e856056","control_MaxMatch_Positive_Abstract",0,"MaxMatch","imagine","admired","imagine-admired","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"57",57,"616d94407f0e63a61e856056","test_ConceptualMatch_Abstract",0,"ConceptualMatchingOnly","loathe","imagine","loathe-imagine","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"58",58,"616d94407f0e63a61e856056","control_MaxMatch_Positive_Concrete",0,"MaxMatch","build","kiss","build-kiss","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"59",59,"616d94407f0e63a61e856056","control_MaxMatch_Negative_Abstract",0,"MaxMatch","obsess","scorn","obsess-scorn","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"60",60,"616d94407f0e63a61e856056","test_ValenceMatch_Positive",0,"ValenceMatchingOnly","cook","believe","cook-believe","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"61",61,"616d94407f0e63a61e856056","control_MaxMismatch",0,"MaxMismatch","scorn","fulfill","scorn-fulfill","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"62",62,"616d94407f0e63a61e856056","control_MaxMatch_Negative_Concrete",0,"MaxMatch","kill","puke","kill-puke","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"63",63,"616d94407f0e63a61e856056","control_Dissimilar",0,"DissimilarControl","rise","fall","rise-fall","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"64",64,"616d94407f0e63a61e856056","control_Similar",99,"SimilarControl","buy","purchase","buy-purchase","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"65",65,"616d94407f0e63a61e856056","test_ConceptualMatch_Concrete",0,"ConceptualMatchingOnly","running","scratch","running-scratch","Conc-Abs","PositiveMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"66",66,"5eb29a3db97d6b0008d24a1a","control_Similar",88,"SimilarControl","get","obtain","get-obtain","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"67",67,"5eb29a3db97d6b0008d24a1a","control_Dissimilar",0,"DissimilarControl","enter","exit","enter-exit","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"68",68,"5eb29a3db97d6b0008d24a1a","test_ValenceMatch_Positive",17,"ValenceMatchingOnly","hug","believe","hug-believe","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"69",69,"5eb29a3db97d6b0008d24a1a","test_ConceptualMatch_Concrete",34,"ConceptualMatchingOnly","sail","bleed","sail-bleed","Conc-Abs","PositiveMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"70",70,"5eb29a3db97d6b0008d24a1a","control_MaxMismatch",25,"MaxMismatch","obsess","respect","obsess-respect","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"71",71,"5eb29a3db97d6b0008d24a1a","test_ConceptualMatch_Abstract",13,"ConceptualMatchingOnly","scorn","esteem","scorn-esteem","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"72",72,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Positive_Concrete",42,"MaxMatch","sail","swing","sail-swing","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"73",73,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Negative_Concrete",28,"MaxMatch","kill","spit","kill-spit","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"74",74,"5eb29a3db97d6b0008d24a1a","control_Similar",86,"SimilarControl","ask","inquire","ask-inquire","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"75",75,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Positive_Abstract",60,"MaxMatch","imagine","justify","imagine-justify","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"76",76,"5eb29a3db97d6b0008d24a1a","test_ValenceMatch_Negative",27,"ValenceMatchingOnly","slap","obsess","slap-obsess","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"77",77,"5eb29a3db97d6b0008d24a1a","control_Dissimilar",1,"DissimilarControl","add","remove","add-remove","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"78",78,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Negative_Abstract",62,"MaxMatch","befall","criticize","befall-criticize","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"79",79,"5eb29a3db97d6b0008d24a1a","control_Similar",85,"SimilarControl","show","display","show-display","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"80",80,"5eb29a3db97d6b0008d24a1a","control_Dissimilar",0,"DissimilarControl","begin","end","begin-end","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"81",81,"5eb29a3db97d6b0008d24a1a","test_ValenceMatch_Positive",39,"ValenceMatchingOnly","cook","believe","cook-believe","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"82",82,"5eb29a3db97d6b0008d24a1a","test_ConceptualMatch_Concrete",8,"ConceptualMatchingOnly","build","kill","build-kill","Conc-Abs","PositiveMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"83",83,"5eb29a3db97d6b0008d24a1a","control_MaxMismatch",22,"MaxMismatch","resent","imagine","resent-imagine","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"84",84,"5eb29a3db97d6b0008d24a1a","test_ConceptualMatch_Abstract",18,"ConceptualMatchingOnly","resent","believe","resent-believe","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"85",85,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Positive_Concrete",58,"MaxMatch","kiss","smile","kiss-smile","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"86",86,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Negative_Concrete",38,"MaxMatch","murder","scratch","murder-scratch","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"87",87,"5eb29a3db97d6b0008d24a1a","control_Similar",85,"SimilarControl","need","require","need-require","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"88",88,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Positive_Abstract",60,"MaxMatch","cherish","hope","cherish-hope","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"89",89,"5eb29a3db97d6b0008d24a1a","test_ValenceMatch_Negative",54,"ValenceMatchingOnly","bleed","violate","bleed-violate","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"90",90,"5eb29a3db97d6b0008d24a1a","control_Dissimilar",1,"DissimilarControl","come","go","come-go","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"91",91,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Negative_Abstract",55,"MaxMatch","loathe","violate","loathe-violate","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"92",92,"5eb29a3db97d6b0008d24a1a","control_Similar",83,"SimilarControl","use","employ","use-employ","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"93",93,"5eb29a3db97d6b0008d24a1a","control_Dissimilar",0,"DissimilarControl","push","pull","push-pull","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"94",94,"5eb29a3db97d6b0008d24a1a","test_ValenceMatch_Positive",40,"ValenceMatchingOnly","sail","imagine","sail-imagine","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"95",95,"5eb29a3db97d6b0008d24a1a","test_ConceptualMatch_Concrete",28,"ConceptualMatchingOnly","hug","bleed","hug-bleed","Conc-Abs","PositiveMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"96",96,"5eb29a3db97d6b0008d24a1a","control_MaxMismatch",9,"MaxMismatch","annoy","fulfill","annoy-fulfill","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"97",97,"5eb29a3db97d6b0008d24a1a","test_ConceptualMatch_Abstract",11,"ConceptualMatchingOnly","annoy","cherish","annoy-cherish","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"98",98,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Positive_Concrete",14,"MaxMatch","cook","swing","cook-swing","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"99",99,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Negative_Concrete",61,"MaxMatch","scratch","stab","scratch-stab","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"100",100,"5eb29a3db97d6b0008d24a1a","control_Similar",99,"SimilarControl","end","finish","end-finish","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"101",101,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Positive_Abstract",56,"MaxMatch","hope","respect","hope-respect","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"102",102,"5eb29a3db97d6b0008d24a1a","test_ValenceMatch_Negative",55,"ValenceMatchingOnly","vomit","loathe","vomit-loathe","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"103",103,"5eb29a3db97d6b0008d24a1a","control_Dissimilar",2,"DissimilarControl","open","close","open-close","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"104",104,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Negative_Abstract",62,"MaxMatch","annoy","violate","annoy-violate","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"105",105,"5eb29a3db97d6b0008d24a1a","control_Similar",87,"SimilarControl","help","assist","help-assist","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"106",106,"5eb29a3db97d6b0008d24a1a","control_Dissimilar",0,"DissimilarControl","give","take","give-take","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"107",107,"5eb29a3db97d6b0008d24a1a","test_ValenceMatch_Positive",39,"ValenceMatchingOnly","running","enlighten","running-enlighten","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"108",108,"5eb29a3db97d6b0008d24a1a","test_ConceptualMatch_Concrete",16,"ConceptualMatchingOnly","smile","spit","smile-spit","Conc-Abs","PositiveMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"109",109,"5eb29a3db97d6b0008d24a1a","control_MaxMismatch",15,"MaxMismatch","violate","enlighten","violate-enlighten","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"110",110,"5eb29a3db97d6b0008d24a1a","test_ConceptualMatch_Abstract",8,"ConceptualMatchingOnly","loathe","hope","loathe-hope","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"111",111,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Positive_Concrete",27,"MaxMatch","eat","sail","eat-sail","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"112",112,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Negative_Concrete",52,"MaxMatch","smack","spit","smack-spit","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"113",113,"5eb29a3db97d6b0008d24a1a","control_Similar",87,"SimilarControl","speak","talk","speak-talk","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"114",114,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Positive_Abstract",63,"MaxMatch","enlighten","cherish","enlighten-cherish","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"115",115,"5eb29a3db97d6b0008d24a1a","test_ValenceMatch_Negative",66,"ValenceMatchingOnly","stab","violate","stab-violate","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"116",116,"5eb29a3db97d6b0008d24a1a","control_Dissimilar",0,"DissimilarControl","rise","fall","rise-fall","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"117",117,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Negative_Abstract",54,"MaxMatch","annoy","scorn","annoy-scorn","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"118",118,"5eb29a3db97d6b0008d24a1a","control_Similar",94,"SimilarControl","begin","start","begin-start","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"119",119,"5eb29a3db97d6b0008d24a1a","control_Dissimilar",0,"DissimilarControl","increase","decrease","increase-decrease","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"120",120,"5eb29a3db97d6b0008d24a1a","test_ValenceMatch_Positive",58,"ValenceMatchingOnly","kiss","justify","kiss-justify","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"121",121,"5eb29a3db97d6b0008d24a1a","test_ConceptualMatch_Concrete",43,"ConceptualMatchingOnly","eat","stab","eat-stab","Conc-Abs","PositiveMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"122",122,"5eb29a3db97d6b0008d24a1a","control_MaxMismatch",11,"MaxMismatch","scorn","believe","scorn-believe","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"123",123,"5eb29a3db97d6b0008d24a1a","test_ConceptualMatch_Abstract",11,"ConceptualMatchingOnly","loathe","justify","loathe-justify","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"124",124,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Positive_Concrete",32,"MaxMatch","build","sail","build-sail","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"125",125,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Negative_Concrete",55,"MaxMatch","bleed","puke","bleed-puke","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"126",126,"5eb29a3db97d6b0008d24a1a","control_Similar",94,"SimilarControl","buy","purchase","buy-purchase","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"127",127,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Positive_Abstract",77,"MaxMatch","imagine","believe","imagine-believe","Conc-Abs","PositiveMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"128",128,"5eb29a3db97d6b0008d24a1a","test_ValenceMatch_Negative",47,"ValenceMatchingOnly","scratch","befall","scratch-befall","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"129",129,"5eb29a3db97d6b0008d24a1a","control_Dissimilar",0,"DissimilarControl","arrive","leave","arrive-leave","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"130",130,"5eb29a3db97d6b0008d24a1a","control_MaxMatch_Negative_Abstract",41,"MaxMatch","exploit","obsess","exploit-obsess","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"131",131,"6734ab83047e85e2f8795acb","control_Similar",99,"SimilarControl","begin","start","begin-start","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"132",132,"6734ab83047e85e2f8795acb","control_Dissimilar",0,"DissimilarControl","add","remove","add-remove","Conc-Abs",NA,"Verbs","Ex1a: Conc-Abs (Verbs)"
"133",133,"6734ab83047e85e2f8795acb","test_ValenceMatch_Negative",0,"ValenceMatchingOnly","stab","obsess","stab-obsess","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"134",134,"6734ab83047e85e2f8795acb","test_ConceptualMatch_Concrete",31,"ConceptualMatchingOnly","eat","kill","eat-kill","Conc-Abs","PositiveMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"135",135,"6734ab83047e85e2f8795acb","test_ConceptualMatch_Abstract",0,"ConceptualMatchingOnly","loathe","fulfill","loathe-fulfill","Conc-Abs","NegativeMismatch","Verbs","Ex1a: Conc-Abs (Verbs)"
"136",136,"6734ab83047e85e2f8795acb","control_MaxMatch_Negative_Abstract",79,"MaxMatch","annoy","scorn","annoy-scorn","Conc-Abs","NegativeMatch","Verbs","Ex1a: Conc-Abs (Verbs)"
